Título atribuído	Outras remetências de título:	Categorias	Material original	Ano	País	Cidade	Estado	Sinopse	Termos descritores	Descritores secundários	Termos geográficos	Produção	Conteúdo examinado	Fontes utilizadas:	Fontes consultadas:	Observações:
CINE JORNAL BRASILEIRO. V.1, SN-2	REGIME PENITENCIÁRIO NO BRASIL; CINE JORNAL BRASILEIRO. SV, SN	Cinejornal / Sonoro / Não ficção	35mm, BP, 10min, 270m, 24q	1940	BR	Rio de Janeiro	DF	"Regime Penitenciário no Brasil". Visão geral das dependências da Penitenciária de São Paulo. O cotidiano dos detentos com o trabalho nas plantações, a criação de animais e o preparo das refeições. As atividades na biblioteca, na sala de artes e os ensaios do orfeão. Os serviços de barbearia, alfaiataria, sapataria, serraria e o preparo de pães pelos detentos. A assistência médica e odontológica para os internos. A prática religiosa na capela da penitenciária. No pátio principal, exibição de ginástica coletiva acompanhada de fanfarra dos detentos. No prédio da administração, membros do conselho discutem pedidos de livramento condicional.	Presídio; Trabalho; Jardinagem; Horticultura; Alimentação; Arte; Medicina; Igreja Católica; Esporte	Penitenciária de São Paulo, São Paulo - SP; Carandiru, São Paulo - SP; Artes plásticas; Música; Odontologia; Ginástica; Fanfarra	Penitenciária de São Paulo, São Paulo - SP; Carandiru, São Paulo - SP	Companhia(s) produtora(s): D.I.P. - Departamento de Imprensa e Propaganda	S	CB/Transcrição de letreiros Site, Instituto São Paulo Antiga, Penitenciária de São Paulo, disponível em: https://saopauloantiga.com.br/penitenciaria-de-sao-paulo/, acesso em: 11.07.2023.	CB/CJB-DIP-1938-1946/1982 JIMS/RTJT/2015	CB/Transcrição de letreiros indica análise de conteúdo realizada a partir de material incompleto. Esta obra foi processada no âmbito do Projeto <Nitratos da Cinemateca Brasileira - Preservação e Acesso> - <Pronac 212939>, 2021, patrocinado pelo <Instituto Cultural Vale> e <Shell do Brasil>.
CINE JORNAL ACTUALIDADES. N.028		Cinejornal / Sonoro / Não ficção	35mm, BP, 116,5m, 24q	1935	BR	Juiz de Fora	MG	"Carriço Filme apresenta Cine-Jornal Actualidades n.28" O Prefeito Menelick de Carvalho comparece à inauguração do Posto e Garagem São Cristóvão de propriedade do Cel. Edgar Vitor.	Comércio; Petróleo; Futebol; Efeméride; Ensino; Música popular; Publicidade; Saúde	Posto e Garagem São Cristóvão; Liga Brasileira de Esportes; Dia do Estudante; Orquidário; Porto; Jardinagem; Tifo; IPES	Juiz de Fora - MG; Avenida Rio Branco, Rio de Janeiro - DF; Praça Paris, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): Carriço Filme	S	Material examinado CENS/DOU		Certificado de censura reproduzido no material examinado informa: 147m, em 3 cópias, com menção à mensagem publicitária: "Conselho da Saúde Pública: A vaccina contra o typho é vantajosa e segura. Ninguem deve empreender uma viagem sem se vaccinar previamente. Ipes".
CINE JORNAL BRASILEIRO. N.002		Cinejornal / Sonoro / Não ficção	35mm, BP, 165m, 24q	1938	BR	Rio de Janeiro	DF	"A Chegada do Cardeal D. Sebastião Leme." "O Encerramento da 'Semana da Asa' no Campo dos Afonsos."	Efeméride; Aviação; Igreja Católica	Campo dos Afonsos; Aeroporto Santos Dumont	Rio de Janeiro - DF; Santa Cruz - RJ	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Diário de São Paulo/estudo		Realizado inteiramente na <Cinédia> S.A. O cinejornal não apresenta entrada por volume até o número 3.
CINE JORNAL BRASILEIRO. N.003		Cinejornal / Sonoro / Não ficção	35mm, BP, 160m, 24q	1938	BR	Rio de Janeiro	DF	"Serviço de salvamento - Rio: Em Copacabana, são lançados ao mar novos barcos salva-vidas." "Exposição Filatélica - Rio: 26 países representando o total de 50.000 contos em selos."	Marinha; Embarcação; Exposição; Filatelia; Café; Filantropia; Índio	Cinema; Cinédia; Prefeitura do Distrito Federal; Serviço de Salvamento; Exposição Filatélica Internacional; Feira de Amostras, 11, Rio de Janeiro; Departamento Nacional do Café; Missão Indígena	Rio de Janeiro - DF; Copacabana, Rio de Janeiro - DF; Morro do Corcovado, Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente na <Cinédia> S.A. Jornal sem numeração por volume até este número.
CINE JORNAL BRASILEIRO. V.1, N.004		Cinejornal / Sonoro / Não ficção	35mm, BP, 165m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.005		Cinejornal / Sonoro / Não ficção	35mm, BP, 153m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.006		Cinejornal / Sonoro / Não ficção	35mm, BP, 156m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.007		Cinejornal / Sonoro / Não ficção	35mm, BP, 160m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.008		Cinejornal / Sonoro / Não ficção	35mm, BP, 170m, 24q	1938	BR	Rio de Janeiro	DF					Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	N	CENS/II Cinédia/Arquivo		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.009		Cinejornal / Sonoro / Não ficção	35mm, BP, 141m, 24q	1938	BR	Rio de Janeiro	DF	"A Polícia do Distrito Federal em manobras de fim de ano-1938." "Aspectos do ataque à posição defensiva-sumariamente organizada."	Polícia; Polícia Militar do Distrito Federal; Ensino		Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento de Propaganda e Difusão Cultural	S	Material examinado CENS/II		Realizado inteiramente na <Cinédia> S.A. Produzido pelo <Departamento Nacional de Propaganda>, segundo o material consultado e Cinédia/Arquivo.
CINE JORNAL BRASILEIRO. V.1, N.010	INAUGURAÇÃO DO HOSPITAL	Cinejornal / Sonoro / Não ficção	35mm, BP, 159m, 24q	1938	BR	Rio de Janeiro	DF	"Mais um hospital - DF: Inaugura-se na Penha o Hospital Getúlio Vargas". Com 300 leitos para a população, dá-se início ao serviço hospitalar da unidade. "Dia da Propaganda - Rio: Almoço oferecido pela Associação Brasileira de Propaganda". No Automóvel Clube do Brasil, autoridades em almoço oferecido pela ABP.	Hospital; Efeméride; Publicidade; Exército; Marinha; Esporte	Hospital Getúlio Vargas, Rio de Janeiro - DF; Automóvel Clube do Brasil, Rio de Janeiro - DF; Dia da Propaganda; ABP - Associação Brasileira de Propaganda; Semana de Confraternização das Classes Armadas, I, 1938; Escola Militar do Realengo, Rio de Janeiro - DF; Escola Naval, Rio de Janeiro - DF	Hospital Getúlio Vargas, Rio de Janeiro - DF; Automóvel Clube do Brasil, Rio de Janeiro - DF; Escola Militar do Realengo, Rio de Janeiro - DF; Rio de Janeiro - DF	Companhia(s) produtora(s): Departamento Nacional de Propaganda	S	CB/Descrição de conteúdo CENS/II	Site, Rio Prefeitura, Automóvel Clube, disponível em: http://www0.rio.rj.gov.br/patrimonio/proj_auto_clube.shtm, acesso em: 27.06.2023. Site, propmark, Associação Brasileira de Propaganda, disponível em: https://propmark.com.br/conheca-a-historia-da-associacao-brasileira-de-propaganda-abp/, acesso em: 27.06.2023.	Cinédia/Arquivo indica que foi realizado inteiramente na <Cinédia> S.A. CB/Descrição de conteúdo indica análise de conteúdo realizada a partir de material incompleto. Mesma fonte informa tratar-se de uma produção do <Departamento Nacional de Propaganda>.
